org_branch,type,mode,sum
X36-AMINGAON BRANCH,Volume,Air,0.0
X36-AMINGAON BRANCH,Billed Wt,Air,0.0
X36-AMINGAON BRANCH,Volume,Ground,1.0
X36-AMINGAON BRANCH,Billed Wt,Ground,2.0
X12-IMPHAL SORTING OFFICE,Volume,Air,1.0
X12-IMPHAL SORTING OFFICE,Billed Wt,Air,20.0
X12-IMPHAL SORTING OFFICE,Volume,Ground,54.0
X12-IMPHAL SORTING OFFICE,Billed Wt,Ground,430.0
X25-ITANAGAR BRANCH,Volume,Air,78.0
X25-ITANAGAR BRANCH,Billed Wt,Air,30.0
X25-ITANAGAR BRANCH,Volume,Ground,809.0
X25-ITANAGAR BRANCH,Billed Wt,Ground,1182.0
X15-JORHAT SORTING OFFICE,Volume,Air,53.0
X15-JORHAT SORTING OFFICE,Billed Wt,Air,81.0
X15-JORHAT SORTING OFFICE,Volume,Ground,421.0
X15-JORHAT SORTING OFFICE,Billed Wt,Ground,908.0
X32-DIMAPUR BRANCH,Volume,Air,9.0
X32-DIMAPUR BRANCH,Billed Wt,Air,199.0
X32-DIMAPUR BRANCH,Volume,Ground,140.0
X32-DIMAPUR BRANCH,Billed Wt,Ground,331.0
X41-KOLIABOR SORTING OFFICE,Volume,Air,0.0
X41-KOLIABOR SORTING OFFICE,Billed Wt,Air,0.0
X41-KOLIABOR SORTING OFFICE,Volume,Ground,1.0
X41-KOLIABOR SORTING OFFICE,Billed Wt,Ground,0.0
X37-MORAN BRANCH,Volume,Air,0.0
X37-MORAN BRANCH,Billed Wt,Air,0.0
X37-MORAN BRANCH,Volume,Ground,6.0
X37-MORAN BRANCH,Billed Wt,Ground,7.0
X29-NALBARI BRANCH,Volume,Air,1.0
X29-NALBARI BRANCH,Billed Wt,Air,0.0
X29-NALBARI BRANCH,Volume,Ground,15.0
X29-NALBARI BRANCH,Billed Wt,Ground,864.0
X19-NAGAON BRANCH,Volume,Air,47.0
X19-NAGAON BRANCH,Billed Wt,Air,15.0
X19-NAGAON BRANCH,Volume,Ground,603.0
X19-NAGAON BRANCH,Billed Wt,Ground,1851.0
X38-LANKA SORTING OFFICE,Volume,Air,13.0
X38-LANKA SORTING OFFICE,Billed Wt,Air,6.0
X38-LANKA SORTING OFFICE,Volume,Ground,28.0
X38-LANKA SORTING OFFICE,Billed Wt,Ground,23.0
X28-NORTH LAKHIMPUR BRANCH,Volume,Air,5.0
X28-NORTH LAKHIMPUR BRANCH,Billed Wt,Air,2.0
X28-NORTH LAKHIMPUR BRANCH,Volume,Ground,59.0
X28-NORTH LAKHIMPUR BRANCH,Billed Wt,Ground,298.0
X06-SHILLONG SORTING OFFICE,Volume,Air,921.0
X06-SHILLONG SORTING OFFICE,Billed Wt,Air,727.0
X06-SHILLONG SORTING OFFICE,Volume,Ground,1916.0
X06-SHILLONG SORTING OFFICE,Billed Wt,Ground,6289.0
X26-SIVASAGAR BRANCH,Volume,Air,25.0
X26-SIVASAGAR BRANCH,Billed Wt,Air,217.0
X26-SIVASAGAR BRANCH,Volume,Ground,810.0
X26-SIVASAGAR BRANCH,Billed Wt,Ground,676.0
X39-SILAPATHAR SORTING OFFICE,Volume,Air,51.0
X39-SILAPATHAR SORTING OFFICE,Billed Wt,Air,13.0
X39-SILAPATHAR SORTING OFFICE,Volume,Ground,304.0
X39-SILAPATHAR SORTING OFFICE,Billed Wt,Ground,778.0
X02-SILCHAR SORTING OFFICE,Volume,Air,2221.0
X02-SILCHAR SORTING OFFICE,Billed Wt,Air,846.0
X02-SILCHAR SORTING OFFICE,Volume,Ground,1890.0
X02-SILCHAR SORTING OFFICE,Billed Wt,Ground,7435.0
X05-TEZPUR BRANCH,Volume,Air,363.0
X05-TEZPUR BRANCH,Billed Wt,Air,116.0
X05-TEZPUR BRANCH,Volume,Ground,3301.0
X05-TEZPUR BRANCH,Billed Wt,Ground,4488.0
X17-TINSUKIA SORTING OFFICE,Volume,Air,78.0
X17-TINSUKIA SORTING OFFICE,Billed Wt,Air,32.0
X17-TINSUKIA SORTING OFFICE,Volume,Ground,323.0
X17-TINSUKIA SORTING OFFICE,Billed Wt,Ground,3328.0
T42-BEGUSARAI SORTING OFFICE,Volume,Air,132.0
T42-BEGUSARAI SORTING OFFICE,Billed Wt,Air,179.0
T42-BEGUSARAI SORTING OFFICE,Volume,Ground,1055.0
T42-BEGUSARAI SORTING OFFICE,Billed Wt,Ground,2214.0
T06-BHAGALPUR BRANCH,Volume,Air,2679.0
T06-BHAGALPUR BRANCH,Billed Wt,Air,3970.0
T06-BHAGALPUR BRANCH,Volume,Ground,2863.0
T06-BHAGALPUR BRANCH,Billed Wt,Ground,6949.0
T09-BOKARO BRANCH,Volume,Air,640.0
T09-BOKARO BRANCH,Billed Wt,Air,270.0
T09-BOKARO BRANCH,Volume,Ground,4096.0
T09-BOKARO BRANCH,Billed Wt,Ground,6725.0
T38-CHAPRA SORTING OFFICE,Volume,Air,109.0
T38-CHAPRA SORTING OFFICE,Billed Wt,Air,52.0
T38-CHAPRA SORTING OFFICE,Volume,Ground,518.0
T38-CHAPRA SORTING OFFICE,Billed Wt,Ground,1279.0
T89-SAGUNA MORE SERVICE CENTER,Volume,Air,96.0
T89-SAGUNA MORE SERVICE CENTER,Billed Wt,Air,24.0
T89-SAGUNA MORE SERVICE CENTER,Volume,Ground,898.0
T89-SAGUNA MORE SERVICE CENTER,Billed Wt,Ground,793.0
T26-DARBHANGA SORTING OFFICE,Volume,Air,217.0
T26-DARBHANGA SORTING OFFICE,Billed Wt,Air,174.0
T26-DARBHANGA SORTING OFFICE,Volume,Ground,1156.0
T26-DARBHANGA SORTING OFFICE,Billed Wt,Ground,4365.0
T04-DHANBAD BRANCH,Volume,Air,1427.0
T04-DHANBAD BRANCH,Billed Wt,Air,910.0
T04-DHANBAD BRANCH,Volume,Ground,12544.0
T04-DHANBAD BRANCH,Billed Wt,Ground,42734.0
T86-DUMKA BRANCH,Volume,Air,105.0
T86-DUMKA BRANCH,Billed Wt,Air,34.0
T86-DUMKA BRANCH,Volume,Ground,436.0
T86-DUMKA BRANCH,Billed Wt,Ground,722.0
T07-GAYA BRANCH,Volume,Air,529.0
T07-GAYA BRANCH,Billed Wt,Air,451.0
T07-GAYA BRANCH,Volume,Ground,3151.0
T07-GAYA BRANCH,Billed Wt,Ground,5354.0
T87-GODDA BRANCH,Volume,Air,37.0
T87-GODDA BRANCH,Billed Wt,Air,10.0
T87-GODDA BRANCH,Volume,Ground,524.0
T87-GODDA BRANCH,Billed Wt,Ground,626.0
T39-GOPALGUNJ SORTING OFFICE,Volume,Air,402.0
T39-GOPALGUNJ SORTING OFFICE,Billed Wt,Air,86.0
T39-GOPALGUNJ SORTING OFFICE,Volume,Ground,1511.0
T39-GOPALGUNJ SORTING OFFICE,Billed Wt,Ground,2221.0
T34-HAZARIBAGH SUB BRANCH,Volume,Air,164.0
T34-HAZARIBAGH SUB BRANCH,Billed Wt,Air,91.0
T34-HAZARIBAGH SUB BRANCH,Volume,Ground,1645.0
T34-HAZARIBAGH SUB BRANCH,Billed Wt,Ground,4295.0
T03-JAMSHEDPUR BRANCH,Volume,Air,3268.0
T03-JAMSHEDPUR BRANCH,Billed Wt,Air,3213.0
T03-JAMSHEDPUR BRANCH,Volume,Ground,19788.0
T03-JAMSHEDPUR BRANCH,Billed Wt,Ground,31104.0
T16-KATIHAR SORTING OFFICE,Volume,Air,94.0
T16-KATIHAR SORTING OFFICE,Billed Wt,Air,23.0
T16-KATIHAR SORTING OFFICE,Volume,Ground,1137.0
T16-KATIHAR SORTING OFFICE,Billed Wt,Ground,1605.0
T88-MOHANIA BRANCH,Volume,Air,41.0
T88-MOHANIA BRANCH,Billed Wt,Air,37.0
T88-MOHANIA BRANCH,Volume,Ground,104.0
T88-MOHANIA BRANCH,Billed Wt,Ground,384.0
T36-MOTIHARI BRANCH,Volume,Air,397.0
T36-MOTIHARI BRANCH,Billed Wt,Air,190.0
T36-MOTIHARI BRANCH,Volume,Ground,1710.0
T36-MOTIHARI BRANCH,Billed Wt,Ground,3036.0
T18-JAMALPUR SUPER FRANCHISEE,Volume,Air,93.0
T18-JAMALPUR SUPER FRANCHISEE,Billed Wt,Air,46.0
T18-JAMALPUR SUPER FRANCHISEE,Volume,Ground,697.0
T18-JAMALPUR SUPER FRANCHISEE,Billed Wt,Ground,1289.0
T05-MUZAFFARPUR BRANCH,Volume,Air,368.0
T05-MUZAFFARPUR BRANCH,Billed Wt,Air,1247.0
T05-MUZAFFARPUR BRANCH,Volume,Ground,4163.0
T05-MUZAFFARPUR BRANCH,Billed Wt,Ground,7730.0
T01-PATNA APEX,Volume,Air,2414.0
T01-PATNA APEX,Billed Wt,Air,4518.0
T01-PATNA APEX,Volume,Ground,25545.0
