org_branch_code,service_type,type,sum
H79,Ground,Billed Wt,3037.4
H80,Air Red,Volume,95.52
H80,Air Red,Billed Wt,138.88
H80,Air White,Volume,976.0
H80,Air White,Billed Wt,900.76
H80,Ground,Volume,210.24
H80,Ground,Billed Wt,1409.48
H91,Air Red,Volume,13.08
H91,Air Red,Billed Wt,16.2
H91,Air White,Volume,379.08
H91,Air White,Billed Wt,295.08
H91,Ground,Volume,40.84
H91,Ground,Billed Wt,249.28
H92,Air Red,Volume,5.44
H92,Air Red,Billed Wt,8.2
H92,Air White,Volume,217.76
H92,Air White,Billed Wt,173.68
H92,Ground,Volume,25.84
H92,Ground,Billed Wt,187.64
H96,Air Red,Volume,89.72
H96,Air Red,Billed Wt,206.08
H96,Air White,Volume,275.28
H96,Air White,Billed Wt,593.32
H96,Ground,Volume,30.2
H96,Ground,Billed Wt,566.2
H98,Air Red,Volume,2.28
H98,Air Red,Billed Wt,4.08
H98,Air White,Volume,147.36
H98,Air White,Billed Wt,187.28
H98,Ground,Volume,14.72
H98,Ground,Billed Wt,102.52
I02,Air Red,Volume,79.88
I02,Air Red,Billed Wt,150.52
I02,Air White,Volume,435.28
I02,Air White,Billed Wt,856.4
I02,Ground,Volume,145.44
I02,Ground,Billed Wt,2034.28
I03,Air Red,Volume,11.4
I03,Air Red,Billed Wt,19.84
I03,Air White,Volume,49.68
I03,Air White,Billed Wt,157.56
I03,Ground,Volume,34.32
I03,Ground,Billed Wt,435.08
I07,Air Red,Volume,7.56
I07,Air Red,Billed Wt,7.4
I07,Air White,Volume,51.16
I07,Air White,Billed Wt,55.68
I07,Ground,Volume,16.52
I07,Ground,Billed Wt,119.44
I08,Air Red,Volume,23.2
I08,Air Red,Billed Wt,31.68
I08,Air White,Volume,152.28
I08,Air White,Billed Wt,128.12
I08,Ground,Volume,53.0
I08,Ground,Billed Wt,412.68
I11,Air Red,Volume,3.12
I11,Air Red,Billed Wt,2.96
I11,Air White,Volume,19.4
I11,Air White,Billed Wt,19.56
I11,Ground,Volume,6.92
I11,Ground,Billed Wt,55.32
I16,Air Red,Volume,29.4
I16,Air Red,Billed Wt,28.28
I16,Air White,Volume,18.12
I16,Air White,Billed Wt,19.16
I16,Ground,Volume,5.8
I16,Ground,Billed Wt,54.2
I19,Air Red,Volume,2.12
I19,Air Red,Billed Wt,4.84
I19,Air White,Volume,23.96
I19,Air White,Billed Wt,24.52
I19,Ground,Volume,14.24
I19,Ground,Billed Wt,152.0
I20,Air Red,Volume,1.32
I20,Air Red,Billed Wt,1.4
I20,Air White,Volume,18.48
I20,Air White,Billed Wt,14.96
I20,Ground,Volume,11.56
I20,Ground,Billed Wt,111.64
I29,Air Red,Volume,5.28
I29,Air Red,Billed Wt,3.92
I29,Air White,Volume,22.6
I29,Air White,Billed Wt,23.68
I29,Ground,Volume,5.04
I29,Ground,Billed Wt,49.6
I30,Air Red,Volume,1.0
I30,Air Red,Billed Wt,0.72
I30,Air White,Volume,3.52
I30,Air White,Billed Wt,2.72
I30,Ground,Volume,2.04
I30,Ground,Billed Wt,18.28
I34,Air Red,Volume,3.4
I34,Air Red,Billed Wt,3.36
I34,Air White,Volume,14.72
I34,Air White,Billed Wt,14.48
I34,Ground,Volume,8.32
I34,Ground,Billed Wt,73.28
I39,Air Red,Volume,1.8
I39,Air Red,Billed Wt,1.16
I39,Air White,Volume,14.84
I39,Air White,Billed Wt,13.84
I39,Ground,Volume,4.28
I39,Ground,Billed Wt,116.0
I41,Air White,Volume,0.16
I41,Air White,Billed Wt,5.44
I41,Ground,Volume,0.08
I41,Ground,Billed Wt,0.2
I42,Air Red,Volume,66.2
I42,Air Red,Billed Wt,74.52
I42,Air White,Volume,552.6
I42,Air White,Billed Wt,553.84
I42,Ground,Volume,148.2
I42,Ground,Billed Wt,1116.8
I43,Air Red,Volume,148.08
I43,Air Red,Billed Wt,147.56
I43,Air White,Volume,387.24
I43,Air White,Billed Wt,471.56
I43,Ground,Volume,101.4
I43,Ground,Billed Wt,1008.32
I44,Air Red,Volume,0.0
I44,Air Red,Billed Wt,0.0
I44,Air White,Volume,0.08
I44,Air White,Billed Wt,0.12
I44,Ground,Volume,0.08
I44,Ground,Billed Wt,0.36
I45,Air Red,Volume,0.04
I45,Air Red,Billed Wt,0.0
I45,Air White,Volume,0.32
I45,Air White,Billed Wt,0.28
I45,Ground,Volume,0.12
I45,Ground,Billed Wt,1.16
I46,Air Red,Volume,130.48
I46,Air Red,Billed Wt,205.64
I46,Air White,Volume,731.52
I46,Air White,Billed Wt,923.36
I46,Ground,Volume,330.16
I46,Ground,Billed Wt,3191.04
J01,Air Red,Volume,294.92
J01,Air Red,Billed Wt,749.0
J01,Air White,Volume,1130.0
J01,Air White,Billed Wt,1530.12
J01,Ground,Volume,346.52
J01,Ground,Billed Wt,3627.56
J02,Air Red,Volume,106.16
J02,Air Red,Billed Wt,163.52
J02,Air White,Volume,623.84
J02,Air White,Billed Wt,886.04
J02,Ground,Volume,138.08
J02,Ground,Billed Wt,1118.8
J03,Air Red,Volume,539.24
J03,Air Red,Billed Wt,800.48
J03,Air White,Volume,2643.36
J03,Air White,Billed Wt,3589.76
J03,Ground,Volume,556.6
J03,Ground,Billed Wt,3288.32
J04,Air Red,Volume,58.0
J04,Air Red,Billed Wt,94.76
J04,Air White,Volume,729.4
J04,Air White,Billed Wt,1199.64
J04,Ground,Volume,324.36
J04,Ground,Billed Wt,1443.16
J05,Air Red,Volume,137.12
J05,Air Red,Billed Wt,274.48
J05,Air White,Volume,1067.4
J05,Air White,Billed Wt,1433.52
J05,Ground,Volume,217.36
J05,Ground,Billed Wt,1377.92
J06,Air Red,Volume,24.12
J06,Air Red,Billed Wt,44.2
J06,Air White,Volume,72.64
J06,Air White,Billed Wt,147.12
J06,Ground,Volume,48.6
J06,Ground,Billed Wt,234.68
J07,Air Red,Volume,37.2
