Type,Origin_Region,Destination_Region,Total_Flow_Units,Optimal_Flow_Units,Non_Optimal_Flow_Units,Optimal_Flow_Percentage,Non_Optimal_Flow_Percentage
Volume,GAU,HHPT,17.519999999999985,0.0,17.519999999999985,0.0,100.0
Volume,GAU,HYD,23.119999999999994,0.0,23.119999999999994,0.0,100.0
Volume,GAU,IDR,6.760000000000002,0.0,6.760000000000002,0.0,100.0
Volume,GAU,JAI,20.839999999999982,0.0,20.839999999999982,0.0,100.0
Volume,GAU,MUM,52.32,0.0,52.32,0.0,100.0
Volume,GAU,NGP,5.720000000000001,0.0,5.720000000000001,0.0,100.0
Volume,GAU,PAT,13.439999999999996,0.0,13.439999999999996,0.0,100.0
Volume,GAU,PNQ,26.15999999999999,0.0,26.15999999999999,0.0,100.0
Volume,GAU,UPT,23.559999999999988,0.0,23.559999999999988,0.0,100.0
Volume,GAU,VJA,5.6000000000000005,0.0,5.6000000000000005,0.0,100.0
Volume,HHPT,AMD,619.2800000000001,63.64,555.6399999999999,10.28,89.72
Volume,HHPT,BBI,266.84000000000003,0.0,266.84000000000003,0.0,100.0
Volume,HHPT,BLR,971.08,66.84,904.2399999999999,6.88,93.12
Volume,HHPT,CCU,727.72,0.0,727.72,0.0,100.0
Volume,HHPT,CHE,398.72,0.0,398.72,0.0,100.0
Volume,HHPT,CJB,229.56,0.0,229.56,0.0,100.0
Volume,HHPT,COK,420.07999999999987,0.0,420.07999999999987,0.0,100.0
Volume,HHPT,DDL,2188.6400000000003,1661.6800000000003,526.96,75.92,24.08
Volume,HHPT,GAU,283.36,0.0,283.36,0.0,100.0
Volume,HHPT,HHPT,0.0,0.0,0.0,0.0,0.0
Volume,HHPT,HYD,544.04,0.0,544.04,0.0,100.0
Volume,HHPT,IDR,333.55999999999995,0.0,333.55999999999995,0.0,100.0
Volume,HHPT,JAI,989.8399999999999,133.2,856.64,13.46,86.54
Volume,HHPT,MUM,1113.3600000000001,61.92,1051.4400000000003,5.56,94.44
Volume,HHPT,NGP,253.71999999999997,0.0,253.71999999999997,0.0,100.0
Volume,HHPT,PAT,319.03999999999996,0.0,319.03999999999996,0.0,100.0
Volume,HHPT,PNQ,762.6800000000001,58.0,704.68,7.6,92.4
Volume,HHPT,UPT,1895.1999999999996,494.04,1401.1599999999996,26.07,73.93
Volume,HHPT,VJA,259.08,0.0,259.08,0.0,100.0
Volume,HYD,AMD,245.00000000000003,0.0,245.00000000000003,0.0,100.0
Volume,HYD,BBI,176.76,0.0,176.76,0.0,100.0
Volume,HYD,BLR,1804.6399999999996,365.24,1439.3999999999996,20.24,79.76
Volume,HYD,CCU,297.08000000000004,0.0,297.08000000000004,0.0,100.0
Volume,HYD,CHE,701.08,0.0,701.08,0.0,100.0
Volume,HYD,CJB,236.76000000000002,0.0,236.76000000000002,0.0,100.0
Volume,HYD,COK,296.5599999999999,0.0,296.5599999999999,0.0,100.0
Volume,HYD,DDL,273.3999999999999,0.0,273.3999999999999,0.0,100.0
Volume,HYD,GAU,88.91999999999999,0.0,88.91999999999999,0.0,100.0
Volume,HYD,HHPT,209.48000000000005,0.0,209.48000000000005,0.0,100.0
Volume,HYD,HYD,0.0,0.0,0.0,0.0,0.0
