zone,region,city,office,name,lat,lon
SOUTH,COCHIN,QUILON,O08,QUILON BRANCH,8.901054,76.586589
SOUTH,COCHIN,CANNANORE,O09,CANNANORE BRANCH,11.87294,75.37953
SOUTH,COCHIN,TIRUVALLA,O11,THIRUVALLA BRANCH,9.40105,76.56528
SOUTH,COCHIN,KOTTAKKAL,O12,KOTTAKAL BRANCH,10.915269,75.996734
SOUTH,COCHIN,COCHIN,O13,ALWAYE BRANCH,10.06337,76.28998
SOUTH,COCHIN,CHERTHALA,O14,CHERTHALA BRANCH,9.69252,76.33487
SOUTH,COCHIN,IDUKKI,O21,ADIMALY BRANCH,10.01116221,76.95637007
SOUTH,COCHIN,COCHIN,O23,COCHIN BRANCH,9.99257,76.28587
SOUTH,COCHIN,KALPETTA,O25,KALPETTA BRANCH,11.619584,76.078795
SOUTH,COCHIN,KASARGOD,O60,KANHANGAD BRANCH,12.345727,75.100289
SOUTH,COCHIN,MUVATTUPUZHA,O88,MUVATTUPUZHA BRANCH,9.971065,76.580741
SOUTH,COCHIN,THALASSERY,O89,THALASSERY BRANCH,11.775664,75.518
SOUTH,COCHIN,TRIVANDRUM,O90,ATTINGAL BRANCH,8.600662329,76.85473641
SOUTH,COCHIN,KARUKUTTY,O93,CHALAKUDY BRANCH,10.2216607,76.376537
SOUTH,COCHIN,MALAPPURAM,O94,PERINTHALMANNA BRANCH,10.999128,76.177412
WEST,PUNE,PUNE,P04,PUNE PIMPRI BRANCH,18.64256,73.79888
WEST,PUNE,SOLAPUR,P06,SOLAPUR BRANCH,17.68141,75.912255
WEST,PUNE,AURANGABAD MH,P09,CHHATRAPATI SAMBHAJINAGAR BRANCH,19.87438947,75.31428994
WEST,PUNE,KOLHAPUR,P11,KOLHAPUR BRANCH,16.6679401,74.27129427
WEST,PUNE,PUNE,P12,PUNE SHIVAJI NAGAR BRANCH,18.53516349,73.84994089
WEST,PUNE,PUNE,P15,MARKET YARD BRANCH,18.48999356,73.87012891
WEST,PUNE,LATUR,P16,LATUR BRANCH,18.384532,76.568425
WEST,PUNE,NASIK,P19,NASIK BRANCH,19.94329632,73.74265981
WEST,PUNE,CHIPLUN,P21,CHIPLUN BRANCH,17.52273041,73.51470964
WEST,PUNE,PUNE,P22,WARJE BRANCH,18.483508,73.80053
WEST,PUNE,PUNE,P24,WAGHOLI BRANCH,18.577083,73.964444
WEST,PUNE,KANKAVLI,P26,KANKAVALI BRANCH,16.26562952,73.70929454
WEST,PUNE,DHULE,P38,DHULE BRANCH,20.837541,74.758129
WEST,PUNE,PUNE,P44,PUNE DIGHI BRANCH,18.628523,73.873561
WEST,PUNE,PUNE,P50,CHAKAN BRANCH,18.73547669,73.85630619
WEST,PUNE,AURANGABAD MH,P56,WALUJ BRANCH,19.830557,75.238956
WEST,PUNE,SHIRWAL,P57,SHIRWAL BRANCH,18.16428693,73.95160635
WEST,PUNE,PARBHANI,P58,PARBHANI BRANCH,19.25950636,76.7736528
WEST,PUNE,RATNAGIRI,P60,RATNAGIRI BRANCH,16.99266381,73.31470149
WEST,PUNE,PUNE,P64,PUNE INTERNATIONAL BRANCH,18.53516349,73.84994089
