des_branch_code,service_type,type,sum
M59,Air Red,Volume,326.12
M59,Air White,Volume,1193.36
M59,Ground,Volume,165.0
M61,Air Red,Volume,320.64
M61,Air White,Volume,1242.16
M61,Ground,Volume,240.84
M63,Air Red,Volume,44.36
M63,Air White,Volume,272.72
M63,Ground,Volume,65.12
M66,Air Red,Volume,231.32
M66,Air White,Volume,1135.24
M66,Ground,Volume,156.32
M68,Air Red,Volume,312.04
M68,Air White,Volume,967.24
M68,Ground,Volume,56.56
M78,Air Red,Volume,433.0
M78,Air White,Volume,1182.24
M78,Ground,Volume,148.4
M80,Air Red,Volume,10.48
M80,Air White,Volume,48.36
M80,Ground,Volume,5.88
M82,Air Red,Volume,0.0
M82,Air White,Volume,0.0
M82,Ground,Volume,0.04
M85,Air Red,Volume,117.88
M85,Air White,Volume,797.0
M85,Ground,Volume,86.72
M87,Air Red,Volume,321.48
M87,Air White,Volume,1190.6
M87,Ground,Volume,103.96
N02,Air Red,Volume,341.76
N02,Air White,Volume,1845.04
N02,Ground,Volume,275.4
N03,Air Red,Volume,379.8
N03,Air White,Volume,2044.04
N03,Ground,Volume,243.04
N09,Air Red,Volume,284.28
N09,Air White,Volume,1875.32
N09,Ground,Volume,220.92
N10,Air Red,Volume,361.12
N10,Air White,Volume,1649.44
N10,Ground,Volume,110.84
N11,Air Red,Volume,466.0
N11,Air White,Volume,2682.52
N11,Ground,Volume,360.8
N15,Air Red,Volume,163.64
N15,Air White,Volume,1007.64
N15,Ground,Volume,171.56
N17,Air Red,Volume,451.28
N17,Air White,Volume,2828.36
N17,Ground,Volume,333.92
N31,Air Red,Volume,246.6
N31,Air White,Volume,1309.52
N31,Ground,Volume,195.32
N32,Air Red,Volume,341.72
N32,Air White,Volume,1861.6
N32,Ground,Volume,254.08
N33,Air Red,Volume,138.68
N33,Air White,Volume,1009.64
N33,Ground,Volume,113.24
N35,Air Red,Volume,214.44
N35,Air White,Volume,995.88
N35,Ground,Volume,265.96
N37,Air Red,Volume,244.36
N37,Air White,Volume,1057.64
N37,Ground,Volume,317.8
N38,Air Red,Volume,210.36
N38,Air White,Volume,640.6
N38,Ground,Volume,253.88
N42,Air Red,Volume,145.0
N42,Air White,Volume,649.52
N42,Ground,Volume,112.2
O01,Air Red,Volume,237.08
O01,Air White,Volume,1111.6
O01,Ground,Volume,129.88
O02,Air Red,Volume,511.36
O02,Air White,Volume,3103.08
O02,Ground,Volume,349.04
O03,Air Red,Volume,275.68
O03,Air White,Volume,1861.2
O03,Ground,Volume,219.24
O04,Air Red,Volume,557.36
O04,Air White,Volume,3136.64
O04,Ground,Volume,330.96
O05,Air Red,Volume,526.12
O05,Air White,Volume,2131.52
O05,Ground,Volume,303.32
O07,Air Red,Volume,370.84
O07,Air White,Volume,1746.8
O07,Ground,Volume,215.48
O08,Air Red,Volume,437.36
O08,Air White,Volume,1993.84
O08,Ground,Volume,245.12
O09,Air Red,Volume,300.92
O09,Air White,Volume,1672.12
O09,Ground,Volume,182.8
O11,Air Red,Volume,269.16
O11,Air White,Volume,1186.92
O11,Ground,Volume,155.96
O12,Air Red,Volume,469.28
O12,Air White,Volume,3302.88
O12,Ground,Volume,317.32
O13,Air Red,Volume,398.32
O13,Air White,Volume,1890.2
O13,Ground,Volume,245.56
O14,Air Red,Volume,52.36
O14,Air White,Volume,285.16
O14,Ground,Volume,38.96
O17,Air Red,Volume,47.04
O17,Air White,Volume,188.76
O17,Ground,Volume,25.64
O21,Air Red,Volume,84.76
O21,Air White,Volume,495.24
O21,Ground,Volume,65.64
O23,Air Red,Volume,374.8
O23,Air White,Volume,1993.64
O23,Ground,Volume,114.84
O25,Air Red,Volume,94.8
O25,Air White,Volume,589.6
O25,Ground,Volume,76.92
O60,Air Red,Volume,138.32
O60,Air White,Volume,866.08
O60,Ground,Volume,98.76
O88,Air Red,Volume,191.32
O88,Air White,Volume,901.52
O88,Ground,Volume,118.24
O89,Air Red,Volume,149.8
O89,Air White,Volume,798.76
O89,Ground,Volume,83.84
O90,Air Red,Volume,261.56
O90,Air White,Volume,1079.2
O90,Ground,Volume,135.76
O93,Air Red,Volume,145.84
O93,Air White,Volume,628.68
O93,Ground,Volume,63.92
P04,Air Red,Volume,634.4
P04,Air White,Volume,3060.64
P04,Ground,Volume,496.48
P06,Air Red,Volume,77.28
P06,Air White,Volume,516.72
P06,Ground,Volume,120.0
P08,Air Red,Volume,77.24
P08,Air White,Volume,529.96
P08,Ground,Volume,123.28
P09,Air Red,Volume,173.76
P09,Air White,Volume,879.72
P09,Ground,Volume,208.6
P10,Air Red,Volume,78.32
P10,Air White,Volume,453.32
P10,Ground,Volume,110.04
P11,Air Red,Volume,121.88
P11,Air White,Volume,720.6
P11,Ground,Volume,161.96
P12,Air Red,Volume,489.4
P12,Air White,Volume,2185.2
P12,Ground,Volume,281.64
P13,Air Red,Volume,41.92
P13,Air White,Volume,266.2
